"Density(kg/m3)","Temperature(K)"
46.79920421,573.969184
47.08975392,574.34228
47.38220479,574.715376
47.67657388,575.088472
47.9728785,575.461568
48.27113618,575.834664
48.57136471,576.20776
48.87358211,576.580856
49.17780667,576.953952
49.48405695,577.327048
49.79235175,577.700144
50.10271016,578.07324
50.41515152,578.446336
50.72969549,578.819432
51.04636198,579.192528
51.36517122,579.565624
51.6861437,579.93872
52.00930025,580.311816
52.33466201,580.684912
52.6622504,581.058008
52.9920872,581.431104
53.32419451,581.8042
53.65859475,582.177296
53.99531071,582.550392
54.3343655,582.923488
54.67578262,583.296584
55.01958592,583.66968
55.36579961,584.042776
55.71444831,584.415872
56.06555701,584.788968
56.4191511,585.162064
56.77525639,585.53516
57.13389908,585.908256
57.49510582,586.281352
57.85890369,586.654448
58.2253202,587.027544
58.59438333,587.40064
58.96612152,587.773736
59.34056368,588.146832
59.71773922,588.519928
60.09767801,588.893024
60.48041049,589.26612
60.86596756,589.639216
61.25438068,590.012312
61.64568187,590.385408
62.03990369,590.758504
62.43707926,591.1316
62.83724231,591.504696
63.24042715,591.877792
63.64666873,592.250888
64.05600259,592.623984
64.46846497,592.99708
64.88409271,593.370176
65.30292336,593.743272
65.72499518,594.116368
66.15034711,594.489464
66.57901884,594.86256
67.0110508,595.235656
67.44648419,595.608752
67.885361,595.981848
68.32772404,596.354944
68.77361694,596.72804
69.22308419,597.101136
69.67617114,597.474232
70.13292406,597.847328
70.59339014,598.220424
71.05761751,598.59352
71.52565528,598.966616
71.99755358,599.339712
72.47336355,599.712808
72.9531374,600.085904
73.43692844,600.459
73.92479108,600.832096
74.41678091,601.205192
74.9129547,601.578288
75.41337043,601.951384
75.91808737,602.32448
76.42716606,602.697576
76.94066841,603.070672
77.45865766,603.443768
77.98119853,603.816864
78.50835716,604.18996
79.04020121,604.563056
79.57679993,604.936152
80.11822412,605.309248
80.66454631,605.682344
81.21584068,606.05544
81.77218321,606.428536
82.33365172,606.801632
82.90032589,607.174728
83.47228738,607.547824
84.04961985,607.92092
84.63240906,608.294016
85.22074291,608.667112
85.81471157,609.040208
86.41440749,609.413304
87.01992555,609.7864
87.63136308,610.159496
88.24882002,610.532592
88.87239894,610.905688
89.5022052,611.278784
90.13834705,611.65188
90.78093568,612.024976
91.43008539,612.398072
92.08591372,612.771168
92.74854151,613.144264
93.4180931,613.51736
94.09469644,613.890456
94.77848322,614.263552
95.46958907,614.636648
96.16815367,615.009744
96.87432097,615.38284
97.58823932,615.755936
98.31006171,616.129032
99.03994594,616.502128
99.77805483,616.875224
100.5245565,617.24832
101.2796245,617.621416
102.0434381,617.994512
